block_id,route_id,trip_headsign,service_id,shape_id,trip_id,trip_id_
a_2150430,330-121,330 HALIFAX,2012_05M-1205BRwd-Weekday-02,3300043,6513332-2012_05M-1205BRwd-Weekday-02,6513332
b_2152846,53-114,53 NOTTING PARK TO HIGHFI,2012_08A-1208BRsa-Saturday-01,530060,6528747-2012_08A-1208BRsa-Saturday-01,6528747
a_2151259,61-121,61 DOWNTOWN HALIFAX TO SC,2012_05M-1205BRsu-Sunday-02,610062,6518384-2012_05M-1205BRsu-Sunday-02,6518384
a_2150773,320-121,320 AIRPORT VIA FALL RIVE,2012_05M-1205BRwd-Weekday-02,3200047,6514296-2012_05M-1205BRwd-Weekday-02,6514296
a_2150510,10-121,10 WESTPHAL,2012_05M-1205BRwd-Weekday-02,100141,6512781-2012_05M-1205BRwd-Weekday-02,6512781
b_2153068,54-114,54 MONTEBELLO,2012_08A-1208BRsu-Sunday-01,540033,6530005-2012_08A-1208BRsu-Sunday-01,6530005
a_2150600,57-121,57 PORTLAND HILLS VIA POR,2012_05M-1205BRwd-Weekday-02,570065,6513677-2012_05M-1205BRwd-Weekday-02,6513677
b_2152234,320-114,320 DOWNTOWN HALIFAX VIA ,2012_08A-1208BRwd-Weekday-01,3200048,6525509-2012_08A-1208BRwd-Weekday-01,6525509
b_2152571,88-114,88 BEDFORD COMMONS,2012_08A-1208BRwd-Weekday-01,880005,6524987-2012_08A-1208BRwd-Weekday-01,6524987
b_2152435,22-114,22 ARMDALE TO EXHIBITION ,2012_08A-1208BRwd-Weekday-01,220035,6525055-2012_08A-1208BRwd-Weekday-01,6525055
b_2152306,87-114,87 GLENDALE TO SACKVILLE ,2012_08A-1208BRwd-Weekday-01,870059,6522060-2012_08A-1208BRwd-Weekday-01,6522060
b_2152861,14-114,14 DOWNTOWN,2012_08A-1208BRsa-Saturday-01,140095,6527180-2012_08A-1208BRsa-Saturday-01,6527180
b_2153023,2-114,2 WEDGEWOOD VIA MAIN,2012_08A-1208BRsu-Sunday-01,20042,6529944-2012_08A-1208BRsu-Sunday-01,6529944
a_2150773,320-121,320 DOWNTOWN HALIFAX VIA ,2012_05M-1205BRwd-Weekday-02,3200044,6514317-2012_05M-1205BRwd-Weekday-02,6514317
b_2152857,51-114,51 WINDMILL TO BRIDGE TER,2012_08A-1208BRsa-Saturday-01,510042,6528690-2012_08A-1208BRsa-Saturday-01,6528690
b_2153022,7-114,7 GOTTINGEN,2012_08A-1208BRsu-Sunday-01,70029,6529444-2012_08A-1208BRsu-Sunday-01,6529444
b_2152477,51-114,51 WINDMILL TO BURNSIDE,2012_08A-1208BRwd-Weekday-01,510090,6525148-2012_08A-1208BRwd-Weekday-01,6525148
a_2150550,68-121,68 PORTLAND ST TO CHERRYB,2012_05M-1205BRwd-Weekday-02,680090,6512207-2012_05M-1205BRwd-Weekday-02,6512207
a_2151244,80-121,80 HALIFAX,2012_05M-1205BRsu-Sunday-02,800064,6518455-2012_05M-1205BRsu-Sunday-02,6518455
b_2152795,1-114,1 SPRING GARDEN TO BRIDGE,2012_08A-1208BRsa-Saturday-01,10032,6528046-2012_08A-1208BRsa-Saturday-01,6528046
a_2151060,18-121,18 UNIVERSITIES,2012_05M-1205BRsa-Saturday-02,180069,6515987-2012_05M-1205BRsa-Saturday-02,6515987
a_2151216,58-121,58 WOODLAWN,2012_05M-1205BRsu-Sunday-02,580054,6518266-2012_05M-1205BRsu-Sunday-02,6518266
a_2151229,66-121,66 PENHORN TO GASTON RD,2012_05M-1205BRsu-Sunday-02,660070,6518878-2012_05M-1205BRsu-Sunday-02,6518878
b_2152836,57-114,57 PORTLAND HILLS VIA POR,2012_08A-1208BRsa-Saturday-01,570065,6528351-2012_08A-1208BRsa-Saturday-01,6528351
a_2150715,88-121,88 COBEQUID TERMINAL,2012_05M-1205BRwd-Weekday-02,880008,6513781-2012_05M-1205BRwd-Weekday-02,6513781
a_2151068,57-121,57 WOODSIDE VIA BAKER DR,2012_05M-1205BRsa-Saturday-02,570064,6517046-2012_05M-1205BRsa-Saturday-02,6517046
a_2151265,83-121,83 SPRINGFIELD,2012_05M-1205BRsu-Sunday-02,830021,6518528-2012_05M-1205BRsu-Sunday-02,6518528
b_2152509,87-114,87 GLENDALE TO BRIDGE TER,2012_08A-1208BRwd-Weekday-01,870058,6522019-2012_08A-1208BRwd-Weekday-01,6522019
b_2152204,165-114,402 SOUTH CENTRE MALL,2012_08A-1208BRwd-Weekday-01,1650009,6524582-2012_08A-1208BRwd-Weekday-01,6524582
b_2153080,59-114,59 PORTLAND ST TO COLBY,2012_08A-1208BRsu-Sunday-01,590146,6529268-2012_08A-1208BRsu-Sunday-01,6529268
b_2152846,58-114,58 WOODLAWN,2012_08A-1208BRsa-Saturday-01,580060,6526975-2012_08A-1208BRsa-Saturday-01,6526975
b_2152487,84-114,84 GLENDALE EXPRESS TO SA,2012_08A-1208BRwd-Weekday-01,840054,6522081-2012_08A-1208BRwd-Weekday-01,6522081
b_2153074,9-114,9 BARRINGTON TO MUMFORD,2012_08A-1208BRsu-Sunday-01,90079,6530325-2012_08A-1208BRsu-Sunday-01,6530325
a_2151027,68-121,68 PORTLAND ST TO CHERRYB,2012_05M-1205BRsa-Saturday-02,680090,6515442-2012_05M-1205BRsa-Saturday-02,6515442
a_2150723,23-121,23 TIMBERLEA,2012_05M-1205BRwd-Weekday-02,230057,6511738-2012_05M-1205BRwd-Weekday-02,6511738
b_2152374,20-114,20 HERRING COVE,2012_08A-1208BRwd-Weekday-01,200082,6523337-2012_08A-1208BRwd-Weekday-01,6523337
a_2151284,320-121,320 DOWNTOWN HALIFAX VIA ,2012_05M-1205BRsu-Sunday-02,3200044,6519471-2012_05M-1205BRsu-Sunday-02,6519471
a_2151270,57-121,57 PORTLAND HILLS VIA POR,2012_05M-1205BRsu-Sunday-02,570065,6519258-2012_05M-1205BRsu-Sunday-02,6519258
a_2150742,21-121,21 TIMBERLEA,2012_05M-1205BRwd-Weekday-02,210072,6512315-2012_05M-1205BRwd-Weekday-02,6512315
a_2150504,8-121,8 WATERFRONT TO PIER 21,2012_05M-1205BRwd-Weekday-02,80021,6514255-2012_05M-1205BRwd-Weekday-02,6514255
a_1968470,FerD-116,FERRY TO HALIFAX,2012_05M-12MferWD-Weekday-00,FerD0004,5807954-2012_05M-12MferWD-Weekday-00,5807954
a_2151230,15-121,15 MUMFORD,2012_05M-1205BRsu-Sunday-02,150029,6518082-2012_05M-1205BRsu-Sunday-02,6518082
b_2153022,7-114,7 ROBIE,2012_08A-1208BRsu-Sunday-01,70028,6529473-2012_08A-1208BRsu-Sunday-01,6529473
b_2153078,1-114,1 SPRING GARDEN TO MUMFOR,2012_08A-1208BRsu-Sunday-01,10031,6530472-2012_08A-1208BRsu-Sunday-01,6530472
a_2151066,72-121,72 PORTLAND HILLS VIA WOO,2012_05M-1205BRsa-Saturday-02,720019,6517181-2012_05M-1205BRsa-Saturday-02,6517181
a_2150710,68-121,68 PORTLAND ST TO BRIDGE ,2012_05M-1205BRwd-Weekday-02,680093,6512199-2012_05M-1205BRwd-Weekday-02,6512199
b_2153045,7-114,7 GOTTINGEN,2012_08A-1208BRsu-Sunday-01,70029,6529457-2012_08A-1208BRsu-Sunday-01,6529457
b_2152188,80-114,80 SACKVILLE,2012_08A-1208BRwd-Weekday-01,800066,6524606-2012_08A-1208BRwd-Weekday-01,6524606
a_2150482,53-121,53 NOTTING PARK TO HIGHFI,2012_05M-1205BRwd-Weekday-02,530053,6511464-2012_05M-1205BRwd-Weekday-02,6511464
b_2152563,57-114,57 PORTLAND HILLS VIA POR,2012_08A-1208BRwd-Weekday-01,570065,6524889-2012_08A-1208BRwd-Weekday-01,6524889
a_1968474,FerD-116,FERRY TO HALIFAX,2012_05M-12MferSU-Sunday-00,FerD0004,5808164-2012_05M-12MferSU-Sunday-00,5808164
a_2150996,10-121,10 DALHOUSIE,2012_05M-1205BRsa-Saturday-02,100253,6515830-2012_05M-1205BRsa-Saturday-02,6515830
a_2151281,320-121,320 DOWNTOWN HALIFAX VIA ,2012_05M-1205BRsu-Sunday-02,3200044,6519477-2012_05M-1205BRsu-Sunday-02,6519477
a_2151062,56-121,56 PORTLAND HILLS,2012_05M-1205BRsa-Saturday-02,560023,6516542-2012_05M-1205BRsa-Saturday-02,6516542
b_2152851,61-114,61 PORTLAND ST TO AUBURN-,2012_08A-1208BRsa-Saturday-01,610102,6526827-2012_08A-1208BRsa-Saturday-01,6526827
b_2153053,21-114,21 LACEWOOD,2012_08A-1208BRsu-Sunday-01,210083,6530039-2012_08A-1208BRsu-Sunday-01,6530039
